RMI,Width_m,Width_ft
236,320,1050
235,213,698
234,185,608
233,181,594
232,171,560
231,178,585
230,192,630
229,186,610
228,193,635
227,189,621
226,210,690
225,144,471
224,137,450
223,200,655
222,220,721
221,441,1447
220,187,614
219,166,544
218,157,515
217,191,627
216,214,703
215,222,729
214,207,680
213,235,772
212,178,585
211,173,567
210,160,525
209,206,675
208,202,663
207,221,724
206,185,607
205,181,593
204,177,581
203,231,756
202,247,809
201,181,593
200,264,867
199,174,570
198,258,848
197,192,629
196,208,681
195,219,719
194,201,661
193,198,650
192,208,681
191,295,968
190,191,626
189,219,719
188,189,620
187,226,742
186,156,512
185,211,693
184,209,686
183,203,666
182,179,588
181,199,653
180,230,755
179,224,736
178,182,596
177,237,777
176,201,659
175,203,666
174,206,676
173,186,609
172,235,771
171,186,609
170,199,653
169,243,798
168,246,807
167,232,762
166,224,733
165,172,565
164,230,754
163,226,741
162,175,574
161,225,739
160,274,898
159,231,759
158,208,681
157,239,785
156,200,655
155,222,729
154,338,1110
153,275,903
152,214,701
151,234,768
150,312,1023
149,237,778
148,248,815
147,256,841
146,247,809
145,227,744
144,302,991
143,291,954
142,406,1333
141,221,724
140,258,846
139,581,1906
138,463,1518
137,381,1250
136,201,659
135,225,737
134,959,3147
133,650,2132
